location,size,total_sqft,bath,price,Place,bhk
"Budh Vihar super area 50 sqyrd status Ready to Move floor Ground out of 2 floors transaction Resale furnishing Unfurnished facing East car parking 1 Open bathroom 1 balcony 2 ownership Freehold For Sale 2 BHK 50 yrd, 2 side open Ground Floor, First and Second Floor in H Block, Gali No. 04, Near Laxmi Narain Mandir, BudhVihar read more Contact Agent View Phone No. Share Feedback Agent Sahyog Properties 1000+ Buyers Served",2 bhk,450,1,36,Delhi,2
Budh Vihar Phase 1,3 bhk,100,2,43,Delhi,3
Budh Vihar,3 bhk,900,2,40,Delhi,3
Budh Vihar Phase 1,2 bhk,500,2,16.5,Delhi,2
Budh Vihar,1 bhk,450,1,20,Delhi,1
Budh Vihar,2 bhk,75,2,30,Delhi,2
Budh Vihar Phase 1,2 bhk,270,1,14,Delhi,2
Budh Vihar Phase 1,2 bhk,500,1,20,Delhi,2
Budh Vihar Phase 1,2 bhk,444,2,20,Delhi,2
Budh Vihar,1 bhk,400,1,20,Delhi,1
Budh Vihar,3 bhk,729,4,26,Delhi,3
Budh Vihar Phase 1,6 bhk,4050,3,51,Delhi,6
Budh Vihar Phase 2,6 bhk,2400,4,60,Delhi,6
Budh Vihar,2 bhk,450,2,40,Delhi,2
Budh Vihar Phase 2,2 bhk,405,3,62,Delhi,2
Budh Vihar Phase 1,1 bhk,666,2,35,Delhi,1
"Saptrishi Apartment, Rohini Sector 23",2 bhk,1000,2,76,Delhi,2
Rohini Sector 24,4 bhk,1360,3,135,Delhi,4
Rohini Sector 24,4 bhk,1550,3,125,Delhi,4
Rohini Sector 23,3 bhk,850,2,65,Delhi,3
Rohini Sector 23,4 bhk,2170,4,220,Delhi,4
Rohini Sector 23,3 bhk,720,2,60,Delhi,3
Rohini Sector 23,3 bhk,850,2,73,Delhi,3
Rohini Sector 23,3 bhk,950,2,76,Delhi,3
Rohini Sector 23,4 bhk,2300,4,200,Delhi,4
Rohini Sector 22,4 bhk,1300,4,150,Delhi,4
Rohini Sector 20,3 bhk,1100,2,62,Delhi,3
Rohini Sector 20,3 bhk,1030,2,62,Delhi,3
"Rohini ( 1 km from Shahbad Dairy, Rohini)",1 bhk,350,1,23,Delhi,1
"J R Designers Floors, Rohini Sector 24",2 bhk,750,2,50,Delhi,2
